date,country,election,status
"Oct. 18, 2018",Kingdom of Bhutan,Election for Gyelyong Tshogdu (Bhutanese National Assembly),Held
"Oct. 14, 2018",Grand Duchy of Luxembourg,Election for Chambre des Députés (Luxembourg Chamber of Deputies),Held
"Oct. 7, 2018",Republic of Cameroon,Election for President,Held
"Oct. 7, 2018",Federative Republic of Brazil,Election for Senado Federal (Brazilian Federal Senate),Held
"Oct. 7, 2018",Federative Republic of Brazil,Election for Camara dos Deputados (Brazilian Chamber of Deputies),Held
"Oct. 7, 2018",Bosnia and Herzegovina,Election for Predstavnicki Dom (Bosnia and Herzegovina House of Representatives),Held
"Oct. 7, 2018",Bosnia and Herzegovina,Election for President,Held
"Oct. 7, 2018",Democratic Republic of Sao Tome and Principe,Election for Assembleia Nacional (Sao Tomean National Assembly),Held
"Oct. 7, 2018",Federative Republic of Brazil,Election for President,Held
"Oct. 7, 2018",Bosnia and Herzegovina,Election for Dom Naroda (Bosnia and Herzegovina House of Peoples),Held
"Oct. 6, 2018",Gabonese Republic,Election for Assemblée Nationale (Gabonese National Assembly),Held
"Oct. 6, 2018",Republic of Latvia,Election for Saeima (Latvian Parliament),Held
"Sept. 30, 2018",Republic of North Macedonia,Referendum,Held
"Sept. 23, 2018",Swiss Confederation,Referendum,Held
"Sept. 23, 2018",Republic of Maldives,Election for President,Held
"Sept. 21, 2018",Kingdom of Eswatini,Election for House of Assembly of Eswatini,Held
"Sept. 9, 2018",Kingdom of Sweden,Election for Riksdag (Swedish Parliament),Held
"Sept. 2, 2018",Republic of Rwanda,Election for Chambre des Députés (Rwandan Chamber of Deputies),Held
"Sept. 1, 2018",Islamic Republic of Mauritania,Election for Al Jamiya Al Wataniya (Mauritanian National Assembly),Held
"Aug. 12, 2018",Republic of Mali,Election for President,Held
"July 30, 2018",Republic of Zimbabwe,Election for Zimbabwean Senate,Held
"July 30, 2018",Union of the Comoros,Referendum,Held
"July 30, 2018",Republic of Zimbabwe,Election for President,Held
"July 30, 2018",Republic of Zimbabwe,Election for Zimbabwean National Assembly,Held
"July 29, 2018",Kingdom of Cambodia,Election for Radhsphea Ney Preah Recheanachakr Kampuchea (Cambodian National Assembly),Held
"July 29, 2018",Republic of Mali,Election for President,Held
"July 25, 2018",Islamic Republic of Pakistan,Election for Qaumī Asimbli'e Pākistān (Pakistani National Assembly),Held
"July 1, 2018",United Mexican States,Election for President,Held
"July 1, 2018",United Mexican States,Election for Camara de Diputados (Mexican Chamber of Deputies),Held
"July 1, 2018",United Mexican States,Election for Camara de Senadores (Mexican Senate),Held
"June 24, 2018",Republic of Turkey,Election for Türkiye Büyük Millet Meclisi (Grand National Assembly of Turkey),Held
"June 24, 2018",Republic of Turkey,Election for President,Held
"June 17, 2018",Republic of Colombia,Election for President,Held
"June 14, 2018",Cook Islands,Election for Cook Islands Parliament,Held
"June 10, 2018",Swiss Confederation,Referendum,Held
"June 3, 2018",Republic of Slovenia,Election for Državni Zbor (Slovenian National Assembly),Held
"May 27, 2018",Republic of Colombia,Election for President,Held
"May 25, 2018",Ireland,Referendum,Held
"May 24, 2018",Barbados,Election for Barbadian House of Assembly,Held
"May 20, 2018",Bolivarian Republic of Venezuela,Election for President,Held
"May 17, 2018",Republic of Burundi,Referendum,Held
"May 12, 2018",Democratic Republic of Timor-Leste,Election for Timorese National Parliament,Held
"May 12, 2018",Republic of Iraq,Election for Majlis an-Nuwwab al-`Iraqiyy (Iraqi Council of Representatives),Held
"May 9, 2018",Malaysia,Election for Dewan Rakyat (Malaysian House of Representatives),Held
"May 6, 2018",Lebanese Republic,Election for Majlis al-Nuwab (Lebanese National Assembly),Held
"May 6, 2018",Overseas Lands of French Polynesia,Election for Assemblée de la Polynésie Française (Assembly of French Polynesia),Held
"April 24, 2018",Greenland,Election for Kalaallit Nunaanni Inatsisartut (Greenland Diet),Held
"April 22, 2018",Overseas Lands of French Polynesia,Election for Assemblée de la Polynésie Française (Assembly of French Polynesia),Held
"April 22, 2018",Republic of Paraguay,Election for Camara de Diputados (Paraguayan Chamber of Deputies),Held
"April 22, 2018",Republic of Paraguay,Election for Camara de Senadores (Paraguayan Chamber of Senators),Held
"April 22, 2018",Republic of Paraguay,Election for President,Held
"April 20, 2018",Kingdom of Bhutan,Election for Gyelyong Tshogde (Bhutanese National Council),Held
"April 15, 2018",Republic of Guatemala,Referendum,Held
"April 15, 2018",Montenegro,Election for President,Held
"April 14, 2018",Wallis And Futuna,Election for Wallis and Futuna French National Assembly Member,Held
"April 11, 2018",Republic of Azerbaijan,Election for President,Held
"April 8, 2018",Hungary,Election for Országgyűlés (Hungarian National Assembly),Held
"April 1, 2018",Republic of Costa Rica,Election for President,Held
"March 31, 2018",Republic of Sierra Leone,Election for President,Held
"March 26, 2018",Arab Republic of Egypt,Election for President,Held
"March 25, 2018",Turkmenistan,Election for Mejlis (Turkmen National Assembly),Held
"March 21, 2018",Antigua and Barbuda,Election for Antiguan and Barbudan House of Representatives,Held
"March 18, 2018",Russian Federation,Election for President,Held
"March 13, 2018",Grenada,Election for Grenadian House of Representatives,Held
"March 11, 2018",Republic of Cuba,Election for Asemblea Nacional del Poder Popular (Cuban National Assembly of People's Power),Held
"March 11, 2018",Republic of Colombia,Election for Camara de Representantes (Colombian House of Representatives),Held
"March 11, 2018",Republic of Colombia,Election for Senado (Colombian Senate),Held
"March 7, 2018",Republic of Sierra Leone,Election for Sierra Leonean Parliament,Held
"March 7, 2018",Republic of Sierra Leone,Election for President,Held
"March 4, 2018",Italian Republic,Election for Senato della Repubblica (Itialian Senate),Held
"March 4, 2018",Swiss Confederation,Referendum,Held
"March 4, 2018",Republic of El Salvador,Election for Asamblea Legislativa (Salvadorian Legislative Assembly),Held
"March 4, 2018",Italian Republic,Election for Camera dei Deputati (Italian Chamber of Deputies),Held
"Feb. 26, 2018",Country of Sint Maarten,Election for Staten (Sint Maarten Parliament),Held
"Feb. 23, 2018",Republic of Djibouti,Election for Assemblée nationale (Djiboutian National Assembly),Held
"Feb. 18, 2018",People's Republic of Bangladesh,Election for President,Held
"Feb. 11, 2018",Principality of Monaco,Election for Conseil National (Monacan National Council),Held
"Feb. 4, 2018",Republic of Costa Rica,Election for President,Held
"Feb. 4, 2018",Republic of Costa Rica,Election for Asamblea Legislativa (Costa Rican Legislative Assembly),Held
"Feb. 4, 2018",Republic of Cyprus,Election for President,Held
"Feb. 4, 2018",Republic of Ecuador,Referendum,Held
"Jan. 28, 2018",Republic of Finland,Election for President,Held
"Jan. 28, 2018",Republic of Cyprus,Election for President,Held
"Jan. 26, 2018",Czech Republic,Election for President,Held
"Jan. 12, 2018",Czech Republic,Election for President,Held
"Jan. 7, 2018",Turkish Republic of Northern Cyprus (TRNC),Election for Cumhuriyet Meclisi (Northern Cyprus Assembly of the Republic),Held
"Nov. 26, 2017",Federal Democratic Republic of Nepal,Election for Pratinidhi Sabha (House of Representatives of Nepal),Held
"Nov. 26, 2017",Republic of Honduras,Election for Congreso Nacional (Honduran National Congress),Held
"Nov. 26, 2017",Republic of Honduras,Election for President,Confirmed
"Nov. 19, 2017",Republic of Chile,Election for Senado (Chilean Senate),Held
"Nov. 19, 2017",Republic of Chile,Election for President,Held
"Nov. 19, 2017",Republic of Chile,Election for Camara de Diputados (Chilean Chamber of Deputies),Confirmed
"Nov. 16, 2017",Kingdom of Tonga,Election for Fale Alea (Tongan Legislative Assembly),Held
"Nov. 13, 2017",Republic of Somaliland,Election for President,Held
"Nov. 12, 2017",Republic of Equatorial Guinea,Election for Camara de Representantes del Pueblo (Equatorial Guinean House of People's Representatives),Held
"Nov. 12, 2017",Republic of Equatorial Guinea,Election for Senado (Equatorial Guinean Senate),Held
"Nov. 12, 2017",Republic of Slovenia,Election for President,Held
"Nov. 9, 2017",Falkland Islands (Malvinas),Election for Falkland Legislative Assembly,Held
"Oct. 29, 2017",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"Oct. 29, 2017",Argentine Republic,Election for Senado (Argentinian Senate),Held
"Oct. 28, 2017",Republic of Iceland,Election for Althing (Icelandic Parliament),Snap
"Oct. 26, 2017",Republic of Kenya,Election for President,Held
"Oct. 22, 2017",Republic of Slovenia,Election for President,Held
"Oct. 22, 2017",Japan,Election for Shugiin (Japanese House of Representatives),Held
"Oct. 20, 2017",Czech Republic,Election for Poslanecká Sněmovna (Czech Chamber of Deputies),Confirmed
"Oct. 15, 2017",Republic of Austria,Election for Nationalrat (Austrian National Council),Held
"Oct. 15, 2017",Kyrgyz Republic,Election for President,Held
"Oct. 10, 2017",Republic of Liberia,Election for Liberian House of Representatives,Held
"Oct. 10, 2017",Republic of Liberia,Election for President,Held
"Sept. 25, 2017",Republic of Iraq,Referendum,Held
"Sept. 24, 2017",Federal Republic of Germany,Election for Bundestag (German Federal Diet),Confirmed
"Sept. 24, 2017",Swiss Confederation,Referendum,Held
"Sept. 23, 2017",New Zealand,Election for New Zealand House of Representatives,Held
"Sept. 23, 2017",Republic of Singapore,Election for President,Held
"Sept. 22, 2017",Aruba,Election for Staten (Aruban Legislature),Held
"Sept. 17, 2017",Macau Special Administrative Region,Election for Região Administrativa Especial de Macau (Chinese Legislative Council (Macau)),Held
"Sept. 11, 2017",Kingdom of Norway,Election for Storting (Norwegian Parliament),Held
"Aug. 23, 2017",Republic of Angola,Election for Assembleia Nacional (Angolan National Assembly),Held
"Aug. 8, 2017",Republic of Kenya,Election for Kenyan National Assembly,Held
"Aug. 8, 2017",Republic of Kenya,Election for Kenyan Senate,Held
"Aug. 5, 2017",Islamic Republic of Mauritania,Referendum,Held
"Aug. 4, 2017",Republic of Rwanda,Election for President,Held
"July 26, 2017",Saint Helena,Election for Saint Helenian Legislative Council,Held
"July 22, 2017",Democratic Republic of Timor-Leste,Election for Timorese National Parliament,Held
"July 16, 2017",Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"July 12, 2017",Bermuda,Election for Bermudian House of Assembly,Held
"July 9, 2017",Mongolia,Election for President,Held
"July 2, 2017",Republic of Senegal,Election for Assemblée Nationale (Senegalese National Assembly),Held
"June 26, 2017",Mongolia,Election for President,Held
"June 25, 2017",Republic of Albania,Election for Kuvendi i Shqipërisë (Parliament of Albania),Held
"June 24, 2017",Independent State of Papua New Guinea,Election for National Parliament of Papua New Guinea,Confirmed
"June 18, 2017",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"June 11, 2017",Republic of Kosovo,Election for Kuvendi i Kosovës/Skupština Kosova (Kosovac Assembly),Held
"June 11, 2017",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"June 8, 2017",United Kingdom of Great Britain and Northern Ireland,Election for British House of Commons,Held
"June 3, 2017",Republic of Malta,Election for Il-Kamra Tad-Deputati (Maltese House of Representatives),Held
"June 3, 2017",Kingdom of Lesotho,Election for Lesotho National Assembly,Held
"May 24, 2017",Cayman Islands,Election for Cayman Legislative Assembly,Confirmed
"May 21, 2017",Swiss Confederation,Referendum,Held
"May 19, 2017",Islamic Republic of Iran,Election for President,Held
"May 10, 2017",Commonwealth of the Bahamas,Election for Bahaman House of Assembly,Held
"May 9, 2017",Republic of Korea,Election for President,Held
"May 7, 2017",French Republic,Election for President,Held
"May 6, 2017",Niue,Election for Niue Fono Ekepule (Niuean Assembly),Held
"May 4, 2017",People's Democratic Republic of Algeria,Election for Al-Majlis Ech-Chaabi Al-Watani (Algerian National People's Assembly),Held
"April 23, 2017",French Republic,Election for President (President of France),Held
"April 16, 2017",Republic of Turkey,Referendum,Held
"April 6, 2017",Republic of The Gambia,Election for Gambian National Assembly,Held
"April 2, 2017",Republic of Ecuador,Election for President,Held
"April 2, 2017",Republic of Armenia,Election for Azgayin Zhoghov (Armenian National Assembly),Held
"April 2, 2017",Republic of Serbia,Election for President,Held
"March 26, 2017",Republic of Bulgaria,Election for Narodno Sabranie (Bulgarian National Assembly),Held
"March 20, 2017",Democratic Republic of Timor-Leste,Election for President,Held
"March 15, 2017",Kingdom of the Netherlands,Election for Tweede Kamer (Dutch Second Chamber),Held
"March 7, 2017",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Held
"March 2, 2017",Northern Ireland,Election for Tionól Thuaisceart Éireann (Northern Ireland Assembly),Held
"Feb. 19, 2017",Republic of Ecuador,Election for Congreso Nacional (Ecuadorian National Congress),Held
"Feb. 19, 2017",Republic of Ecuador,Referendum,Held
"Feb. 19, 2017",Republic of Ecuador,Election for President,Held
"Feb. 12, 2017",Swiss Confederation,Referendum,Held
"Feb. 12, 2017",Turkmenistan,Election for President,Held
"Feb. 5, 2017",Principality of Liechtenstein,Election for Landtag (Liechtenstein Parliament),Held
"Jan. 8, 2017",Federal Republic of Somalia,Election for President,Held
"Dec. 18, 2016",Republic of Côte d'Ivoire,Election for Assemblee Nationale (Ivoirian National Assembly),Held
"Dec. 15, 2016",Turks and Caicos Islands,Election for Turks and Caicos House of Assembly,Held
"Dec. 11, 2016",Kyrgyz Republic,Referendum,Held
"Dec. 11, 2016",Romania,Election for Camera Deputaţilor (Romanian Chamber of Deputies),Held
"Dec. 11, 2016",Republic of North Macedonia,Election for Sobranie (North Macedonian Assembly ),Held
"Dec. 11, 2016",Romania,Election for Senat (Romanian Senate),Held
"Dec. 7, 2016",Republic of Ghana,Election for Ghanaian Parliament,Held
"Dec. 7, 2016",Republic of Ghana,Election for President,Held
"Dec. 4, 2016",Republic of Uzbekistan,Election for President,Held
"Dec. 4, 2016",Italian Republic,Referendum,Held
"Dec. 4, 2016",Republic of Austria,Election for President,Held
"Dec. 1, 2016",Republic of The Gambia,Election for President,Held
"Nov. 27, 2016",Swiss Confederation,Referendum,Held
"Nov. 26, 2016",State of Kuwait,Election for Majlis al-Umma (Kuwaiti National Assembly),Moved Up/ Snap
"Nov. 24, 2016",Grenada,Referendum,Held
"Nov. 20, 2016",Republic of Haiti,Election for President,Held
"Nov. 13, 2016",Republic of Moldova,Election for President,Held
"Nov. 13, 2016",Republic of Bulgaria,Election for President,Held
